Scientific_Name,Common_Name,Genus,Family,SRS,Lower,Upper,Range,SRC,Red List Status,Avg_ABM,BMC ,HR,GL,IUCN Land Regions,E_Asia,Europe,M_America,N_Africa,N_Asia,SSE_Asia,SS_Africa,WC_Asia,S_America,N_America,Caribbean,Oceania,IUCN_Habitats,Forest,Shrubland,Savanna,Grassland,Desert,Wetlands,Rocky,Marine_Intertidal,Marine_Coastal/Supratidal,Artificial/Terrestrial,Introduced Vegetation,Other,Unknown,Geog_Range,,,
Felis chaus,Jungle Cat,Felis,Felidae,55.6,44.4,55.6,11.2,Moderately Depleted,Least Concern,10,M,5.88,5.22,"East Asia, North Africa, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,1,1,1,0,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Desert",1,1,1,1,1,1,0,0,0,0,0,0,0,5 to 10,,,
Felis margarita,Sand Cat,Felis,Felidae,55.6,33.3,77.8,44.5,Indeterminate,Least Concern,2.25,S,24.44,4,"North Africa, Sub-Saharan Africa, West and Central Asia",0,0,0,1,0,0,1,1,0,0,0,0,Desert,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1 to 1,,,
Felis silvestris,European Wildcat,Felis,Felidae,55.6,44.4,72.2,27.8,Moderately Depleted,Least Concern,4.7,S,1.5,8,"Europe, North Asia, West and Central Asia",0,1,0,0,1,0,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",1,1,0,1,0,1,1,0,0,1,0,0,0,1 to 5,,,
Felis bieti,Chinese Mountain Cat,Felis,Felidae,33.3,33.3,33.3,0,Largely Depleted,Vulnerable,6.5,M,3.04,2,East Asia,1,0,0,0,0,0,0,0,0,0,0,0,"Forest, Shrubland, Grassland, Desert",1,1,0,1,1,0,0,0,0,0,0,0,0,0.1 to 1,,,
Felis nigripes,Black-footed Cat,Felis,Felidae,33.3,33.3,33.3,0,Largely Depleted,Vulnerable,2,S,10.93,4.62,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Savanna, Grassland, Desert",0,0,1,1,1,0,0,0,0,0,0,0,0,1 to 5,,,
Felis lybica,Afro-Asiatic Wildcat,Felis,Felidae,88.9,33.3,100,66.7,Indeterminate,Least Concern,5,S,4.7,8,"East Asia, Europe, North Africa, North Asia, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,1,0,1,1,1,1,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert, Artificial/Terrestrial",1,1,1,1,1,0,0,0,0,1,0,0,0,>20,,,
Panthera leo,Lion,Panthera,Felidae,41.7,41.7,41.7,0,Largely Depleted,Vulnerable,155.8,L,367,6.98,"North Africa, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,0,0,1,0,1,1,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert",1,1,1,1,1,0,0,0,0,0,0,0,0,10 to 20,,,
Panthera pardus,Leopard,Panthera,Felidae,33.3,33.3,33.3,0,Largely Depleted,Vulnerable,52.4,L,21,7.42,"East Asia, North Africa, North Asia, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,0,0,1,1,1,1,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Desert",1,1,1,1,1,0,1,0,0,0,0,0,0,>20,,,
Panthera tigris,Tiger,Panthera,Felidae,25,25,25,0,Largely Depleted,Endangered,161,L,317,8.5,"East Asia, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,0,1,1,0,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Marine Coastal/Supratidal, Artificial/Terrestrial",1,1,1,1,0,1,0,0,1,1,0,0,0,0.1 to 1,,,
Panthera onca,Jaguar,Panthera,Felidae,37.5,37.5,37.5,0,Largely Depleted,Near Threatened,97,L,57,6.84,"Mesoamerica, North America, South America",0,0,1,0,0,0,0,0,1,1,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",1,1,1,1,0,1,0,0,0,1,0,0,0,5 to 10,,,
Panthera uncia,Snow Leopard,Panthera,Felidae,55.6,44.4,66.7,22.3,Moderately Depleted,Vulnerable,50,L,349.4,7.54,"East Asia, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,0,1,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks)",1,1,0,1,0,0,1,0,0,0,0,0,0,1 to 5,,,
Leopardus pardalis,Ocelot,Leopardus,Felidae,,,,0,,Least Concern,13.5,M,5.4,8.25,"Caribbean Islands, Mesoamerica, North America, South America",0,0,1,0,0,0,0,0,1,1,1,0,"Forest, Savanna, Shrubland",1,1,1,0,0,0,0,0,0,0,0,0,0,10 to 20,,,
Leopardus wiedii,Margay,Leopardus,Felidae,,,,0,,Near Threatened,3.3,S,8,6,"Mesoamerica, North America, South America",0,0,1,0,0,0,0,0,1,1,0,0,"Forest, Savanna, Shrubland",1,1,1,0,0,0,0,0,0,0,0,0,0,10 to 20,,,
Leopardus colocolo,Pampas Cat,Leopardus,Felidae,,,,0,,Near Threatened,5,S,17.19,7,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert",1,1,1,1,1,0,0,0,0,0,0,0,0,1 to 5,,,
Leopardus geoffroyi,Geoffroy's Cat,Leopardus,Felidae,,,,0,,Least Concern,5.2,M,2.06,7.75,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland",1,1,1,1,0,0,0,0,0,0,0,0,0,1 to 5,,,
Leopardus guigna,Guiña,Leopardus,Felidae,,,,0,,Vulnerable,2.15,S,4.85,6,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Shrubland",1,1,0,0,0,0,0,0,0,0,0,0,0,0.01 to 0.1,,,
Leopardus jacobita,Andean Cat,Leopardus,Felidae,,,,0,,Endangered,4,S,65.5,3.82,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks)",0,1,0,1,0,0,1,0,0,0,0,0,0,0.1 to 1,,,
Leopardus guttulus,Southern Tiger Cat,Leopardus,Felidae,,,,0,,Vulnerable,2.65,S,11.21,4.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna",1,0,1,0,0,0,0,0,0,0,0,0,0,1 to 5,,,
Leopardus tigrinus,Northern Tiger Cat,Leopardus,Felidae,,,,0,,Vulnerable,2.25,S,9,5,"Mesoamerica, South America",0,0,1,0,0,0,0,0,1,0,0,0,"Forest, Shrubland",1,1,0,0,0,0,0,0,0,0,0,0,0,5 to 10,,,
Lynx lynx,Eurasian Lynx,Lynx,Felidae,63.9,52.8,75,22.2,Moderately Depleted,Least Concern,19.3,L,138,9.15,"East Asia, Europe, North Asia, South and Southeast Asia, West and Central Asia",1,1,0,0,1,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Desert",1,1,0,1,1,0,1,0,0,0,0,0,0,>20,,,
Lynx canadensis,Canada Lynx,Lynx,Felidae,79.5,79.5,79.5,0,Moderately Depleted,Least Concern,9.25,M,33,9.29,North America,0,0,0,0,0,0,0,0,0,1,0,0,"Forest, Shrubland, Grassland",1,1,0,1,0,0,0,0,0,0,0,0,0,10 to 20,,,
Lynx pardinus,Iberian Lynx,Lynx,Felidae,22.2,22.2,22.2,0,Largely Depleted,Endangered,13,M,7.2,6,Europe,0,1,0,0,0,0,0,0,0,0,0,0,Shrubland,0,1,0,0,0,0,0,0,0,0,0,0,0,<0.01,,,
Lynx rufus,Bobcat,Lynx,Felidae,86.7,60,96.7,36.7,Slightly Depleted,Least Concern,8.2,M,33,10.44,"Mesoamerica, North America",0,0,1,0,0,0,0,0,0,1,0,0,"Forest, Savanna, Shrubland, Grassland, Desert",1,1,1,1,1,0,0,0,0,0,0,0,0,10 to 20,,,
Prionailurus planiceps,Flat-headed Cat,Prionailurus,Felidae,33.3,33.3,33.3,0,Largely Depleted,Endangered,2,S,25,6,South and Southeast Asia,1,0,0,0,0,1,0,0,0,0,0,0,"Forest, Wetlands (inland)",1,0,0,0,0,1,0,0,0,0,0,0,0,0.1 to 1,,,
Prionailurus rubiginosus,Rusty-spotted Cat,Prionailurus,Felidae,33.3,33.3,46.7,13.4,Largely Depleted,Near Threatened,1.35,S,NA,4,South and Southeast Asia,1,0,0,0,0,1,0,0,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert, Artificial/Terrestrial",1,1,1,1,1,0,0,0,0,1,0,0,0,1 to 5,,,
Prionailurus viverrinus,Fishing Cat,Prionailurus,Felidae,33.3,22.2,33.3,11.1,Largely Depleted,Vulnerable,9,M,6.91,5,"South and Southeast Asia, West and Central Asia",1,0,0,0,0,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",1,1,0,1,0,1,0,0,0,1,0,0,0,0.1 to 1,,,
Prionailurus bengalensis,Mainland Leopard Cat,Prionailurus,Felidae,88.9,66.7,100,33.3,Slightly Depleted,Least Concern,5,S,1.8,6.44,"East Asia, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,0,1,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Artificial/Terrestrial, Introduced vegetation",1,1,0,1,0,0,0,0,0,1,1,0,0,10 to 20,,,
Prionailurus javanensis,Sunda Leopard Cat,Prionailurus,Felidae,66.7,33.3,100,66.7,Indeterminate,Least Concern,4.8,S,3.95,6.44,South and Southeast Asia,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 5,,,
Caracal caracal,Caracal,Caracal,Felidae,,,,0,,Least Concern,11.4,M,276,6.1,"North Africa, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,0,0,1,0,1,1,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert",1,1,1,1,1,0,0,0,0,0,0,0,0,>20,,,
Caracal aurata,African Golden Cat,Caracal,Felidae,,,,0,,Vulnerable,10.75,M,NA,5,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,Forest,1,0,0,0,0,0,0,0,0,0,0,0,0,1 to 5,,,
Acinonyx jubatus,Cheetah,Acinonyx,Felidae,,,,0,,Vulnerable,38.9,L,283,4.9,"North Africa, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,0,0,1,0,1,1,1,0,0,0,0,"Savanna, Shrubland, Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks), Desert, Artificial/Terrestrial",0,1,1,1,1,1,1,0,0,1,0,0,0,1 to 5,,,
Neofelis nebulosa,Clouded Leopard,Neofelis,Felidae,,,,0,,Vulnerable,17,L,23.4,7,"East Asia, South and Southeast Asia",1,0,0,0,0,1,0,0,0,0,0,0,"Forest, Shrubland",1,1,0,0,0,0,0,0,0,0,0,0,0,1 to 5,,,
Neofelis diardi,Sunda Clouded Leopard,Neofelis,Felidae,,,,0,,Vulnerable,22.5,L,16.1,7,South and Southeast Asia,1,0,0,0,0,1,0,0,0,0,0,0,Forest,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1 to 1,,,
Leptailurus serval,Serval,Leptailurus,Felidae,,,,0,,Least Concern,11.7,M,2,8.27,"North Africa, Sub-Saharan Africa",0,0,0,1,0,0,1,0,0,0,0,0,"Forest, Savanna, Grassland, Wetlands (inland)",1,0,1,1,0,1,0,0,0,0,0,0,0,10 to 20,,,
Catopuma badia,Borneo Bay Cat,Catopuma,Felidae,,,,0,,Endangered,4,S,100,6,South and Southeast Asia,1,0,0,0,0,1,0,0,0,0,0,0,Forest,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1 to 1,,,
Catopuma temminckii,Asiatic Golden Cat,Catopuma,Felidae,,,,0,,Near Threatened,13.5,M,37.75,6,"East Asia, South and Southeast Asia",1,0,0,0,0,1,0,0,0,0,0,0,"Forest, Savanna, Shrubland, Grassland",1,1,1,1,0,0,0,0,0,0,0,0,0,0.1 to 1,,,
Puma concolor,Puma,Puma,Felidae,,,,0,,Least Concern,51.8,L,139,7.38,"Mesoamerica, North America, South America",0,0,1,0,0,0,0,0,1,1,0,0,"Forest, Savanna, Shrubland, Grassland, Desert",1,1,1,1,1,0,0,0,0,0,0,0,0,>20,,,
Pardofelis marmorata,Marbled Cat,Pardofelis,Felidae,,,,0,,Near Threatened,3.7,S,5.12,5,"East Asia, South and Southeast Asia",1,0,0,0,0,1,0,0,0,0,0,0,Forest,1,0,0,0,0,0,0,0,0,0,0,0,0,1 to 5,,,
Otocolobus manul,Pallas's Cat,Otocolobus,Felidae,,,,0,,Least Concern,3.75,S,62.4,3.61,"East Asia, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,0,1,1,0,1,0,0,0,0,"Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Desert, Other",0,1,0,1,1,0,1,0,0,0,0,1,0,5 to 10,,,
Herpailurus yagouaroundi,Jaguarundi,Herpailurus,Felidae,,,,0,,Least Concern,5.1,M,49,6.17,"Mesoamerica, North America, South America",0,0,1,0,0,0,0,0,1,1,0,0,"Forest, Savanna, Shrubland, Grassland",1,1,1,1,0,0,0,0,0,0,0,0,0,10 to 20,,,
Vulpes vulpes,Red Fox,Vulpes,Canidae,,,,0,,Least Concern,4.1,S,3.5,5.77,"East Asia, Europe, North Africa, North America, North Asia, Oceania, South and Southeast Asia, Sub-Saharan Africa, West and Central Asia",1,1,0,1,1,1,1,1,0,1,0,1,"Forest, Shrubland, Grassland, Wetlands (inland), Desert, Artificial/Terrestrial",1,1,0,1,1,1,0,0,0,1,0,0,0,>20,,,
Vulpes lagopus,Arctic Fox,Vulpes,Canidae,,,,0,,Least Concern,5.2,M,15,5.13,"Europe, North America, North Asia",0,1,0,0,1,0,0,0,0,1,0,0,Grassland,0,0,0,1,0,0,0,0,0,0,0,0,0,5 to 10,,,
Vulpes cana,Blanford's Fox,Vulpes,Canidae,,,,0,,Least Concern,1,S,2,3.84,"North Africa, West and Central Asia",0,0,0,1,0,0,0,1,0,0,0,0,"Rocky areas (eg. inland cliffs, mountain peaks), Desert",0,0,0,0,1,0,1,0,0,0,0,0,0,1 to 5,,,
Vulpes corsac,Corsac Fox,Vulpes,Canidae,,,,0,,Least Concern,2.7,S,15,5.95,"East Asia, North Asia, West and Central Asia",1,0,0,0,1,0,0,1,0,0,0,0,"Shrubland, Grassland, Desert",0,1,0,1,1,0,0,0,0,0,0,0,0,5 to 10,,,
Vulpes rueppellii,Rüppell's Fox,Vulpes,Canidae,,,,0,,Least Concern,2.4,S,32,3,"North Africa, Sub-Saharan Africa, West and Central Asia",0,0,0,1,0,0,1,1,0,0,0,0,"Shrubland, Desert, Marine Coastal/Supratidal",0,1,0,0,1,0,0,0,1,0,0,0,0,10 to 20,,,
Vulpes zerda,Fennec Fox,Vulpes,Canidae,100,66.7,100,33.3,Fully Recovered,Least Concern,1,S,NA,5.15,"North Africa, Sub-Saharan Africa",0,0,0,1,0,0,1,0,0,0,0,0,"Desert, Marine Coastal/Supratida",0,0,0,0,1,0,0,0,1,0,0,0,0,5 to 10,,,
Vulpes bengalensis,Bengal Fox,Vulpes,Canidae,,,,0,,Least Concern,3.22,S,2.9,3.61,"South and Southeast Asia, West and Central Asia",1,0,0,0,0,1,0,1,0,0,0,0,"Shrubland, Grassland",0,1,0,1,0,0,0,0,0,0,0,0,0,1 to 5,,,
Vulpes pallida,Pale Fox,Vulpes,Canidae,,,,0,,Least Concern,2.55,S,5.57,3,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Savanna, Shrubland, Grassland, Desert, Artificial/Terrestrial",0,1,1,1,1,0,0,0,0,1,0,0,0,1 to 5,,,
Vulpes velox,Swift Fox,Vulpes,Canidae,,,,0,,Least Concern,2.35,S,7.63,6.51,North America,0,0,0,0,0,0,0,0,0,1,0,0,"Grassland, Artificial/Terrestrial",0,0,0,1,0,0,0,0,0,1,0,0,0,0.1 to 1,,,
Vulpes chama,Cape Fox,Vulpes,Canidae,,,,0,,Least Concern,2.6,S,12.79,3.69,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Savanna, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",0,1,1,1,0,0,1,0,0,1,0,0,0,1 to 5,,,
Vulpes ferrilata,Tibetan Fox,Vulpes,Canidae,,,,0,,Least Concern,4.75,S,6.4,3.5,"East Asia, South and Southeast Asia",1,0,0,0,0,1,0,0,0,0,0,0,"Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Desert",0,1,0,1,1,0,1,0,0,0,0,0,0,1 to 5,,,
Vulpes macrotis,Kit Fox,Vulpes,Canidae,,,,0,,Least Concern,2.15,S,10.79,6.1,"Mesoamerica, North America",0,0,1,0,0,0,0,0,0,1,0,0,"Savanna, Shrubland, Grassland, Artificial/Terrestrial",0,1,1,1,0,0,0,0,0,1,0,0,0,1 to 5,,,
Canis lupus,Grey Wolf,Canis,Canidae,61.1,52.8,72.2,19.4,Moderately Depleted,Least Concern,33.2,L,43,7.9,"East Asia, Europe, Mesoamerica, North Africa, North America, North Asia, South and Southeast Asia, West and Central Asia",1,1,1,1,1,1,0,1,0,1,0,0,"Forest, Shrubland, Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks), Desert, Artificial/Terrestrial",1,1,0,1,1,1,1,0,0,1,0,0,0,>20,,,
Canis aureus,Golden Jackal,Canis,Canidae,72.2,61.1,83.3,22.2,Moderately Depleted,Least Concern,8.8,M,3.1,3.5,"Europe, North Africa, North Asia, South and Southeast Asia, West and Central Asia",1,1,0,1,1,1,0,1,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Artificial/Terrestrial",1,1,1,1,0,0,0,0,0,1,0,0,0,10 to 20,,,
Canis latrans,Coyote,Canis,Canidae,100,66.7,100,33.3,Fully Recovered,Least Concern,10.6,M,20,4,"Mesoamerica, North America",0,0,1,0,0,0,0,0,0,1,0,0,"Forest, Shrubland, Grassland, Desert, Artificial/Terrestrial",1,1,0,1,1,0,0,0,0,1,0,0,0,10 to 20,,,
Canis rufus,Red Wolf,Canis,Canidae,11.1,11.1,11.1,0,Critically Depleted,Critically Endangered,30,L,47.2,5.52,North America,0,0,0,0,0,0,0,0,0,1,0,0,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",1,1,0,0,0,1,0,0,0,1,0,0,0,<0.01,,,
Canis simensis,Ethiopian Wolf,Canis,Canidae,33.3,33.3,33.3,0,Largely Depleted,Endangered,14.8,L,5,4.5,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Shrubland, Grassland, Wetlands (inland), Rocky areas (eg. inland cliffs, mountain peaks)",0,1,0,1,0,1,1,0,0,0,0,0,0,<0.01,,,
Lupulella adustus,Side-striped Jackal,Lupulella,Canidae,100,66.7,100,33.3,Fully Recovered,Least Concern,9.5,M,1,4.25,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",1,1,1,1,0,1,0,0,0,1,0,0,0,10 to 20,,,
Lupulella mesomelas,Black-backed Jackal,Lupulella,Canidae,100,66.7,100,33.3,Fully Recovered,Least Concern,8.05,M,13,5,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert, Marine Intertidal, Artificial/Terrestrial",1,1,1,1,1,0,0,1,0,1,0,0,0,10 to 20,,,
Canis lupaster,African Wolf,Canis,Canidae,66.7,66.7,100,33.3,Moderately Depleted,Least Concern,10.65,M,0.5,3.5,"North Africa, Sub-Saharan Africa",0,0,0,1,0,0,1,0,0,0,0,0,"Savanna, Shrubland, Grassland",0,1,1,1,0,0,0,0,0,0,0,0,0,10 to 20,,,
Lycalopex sechurae,Sechuran Fox,Lycalopex,Canidae,,,,0,,Near Threatened,3.6,S,1.47,3,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Shrubland, Grassland, Desert, Artificial/Terrestrial",1,1,0,1,1,0,0,0,0,1,0,0,0,0.01 to 0.1,,,
Lycalopex vetulus,Hoary Fox,Lycalopex,Canidae,,,,0,,Near Threatened,3.5,S,3.67,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Savanna, Artificial/Terrestrial",0,0,1,0,0,0,0,0,0,1,0,0,0,1 to 5,,,
Lycalopex griseus,Chilla,Lycalopex,Canidae,,,,0,,Least Concern,3.25,S,1.35,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Shrubland, Grassland, Artificial/Terrestrial",1,1,0,1,0,0,0,0,0,1,0,0,0,1 to 5,,,
Lycalopex gymnocercus,Pampas Fox,Lycalopex,Canidae,,,,0,,Least Concern,5,S,0.56,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Savanna, Shrubland, Grassland, Artificial/Terrestrial",0,1,1,1,0,0,0,0,0,1,0,0,0,1 to 5,,,
Lycalopex culpaeus,Culpeo,Lycalopex,Canidae,,,,0,,Least Concern,7.73,M,5.4,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",1,1,1,1,0,0,1,0,0,1,0,0,0,1 to 5,,,
Lycalopex fulvipes,Darwin's Fox,Lycalopex,Canidae,,,,0,,Endangered,2.72,S,4.88,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Shrubland, Artificial/Terrestrial",1,1,0,0,0,0,0,0,0,1,0,0,0,0.01 to 0.1,,,
Dusicyon australis,Falklands Wolf,Dusicyon,Canidae,,,,0,,Extinct,NA,NA,NA,NA,South America,0,0,0,0,0,0,0,0,1,0,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Dusicyon avus,Dusicyon avus,Dusicyon,Canidae,,,,0,,Extinct,NA,NA,NA,NA,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Shrubland, Grassland",0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,
Urocyon cinereoargenteus,Grey Fox,Urocyon,Canidae,,,,0,,Least Concern,3.7,S,1.89,3,"Mesoamerica, North America, South America",0,0,1,0,0,0,0,0,1,1,0,0,"Forest, Shrubland, Artificial/Terrestrial",1,1,0,0,0,0,0,0,0,1,0,0,0,5 to 10,,,
Urocyon littoralis,Island Fox,Urocyon,Canidae,66.7,66.7,66.7,0,Moderately Depleted,Near Threatened,1.81,S,0.45,4,North America,0,0,0,0,0,0,0,0,0,1,0,0,"Forest, Shrubland, Grassland, Marine Intertidal, Artificial/Terrestrial",1,1,0,1,0,0,0,1,0,1,0,0,0,<0.01,,,
Lycaon pictus,African Wild Dog,Lycaon,Canidae,33.3,33.3,33.3,0,Largely Depleted,Endangered,22,L,817,5,"North Africa, Sub-Saharan Africa",0,0,0,1,0,0,1,0,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert",1,1,1,1,1,0,0,0,0,0,0,0,0,1 to 5,,,
Nyctereutes procyonoides,Racoon Dog,Nyctereutes,Canidae,,,,0,,Least Concern,4.04,S,1.2,3,"East Asia, Europe, North Asia, South and Southeast Asia, West and Central Asia",1,1,0,0,1,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Artificial/Terrestrial",1,1,0,1,0,0,0,0,0,1,0,0,0,10 to 20,,,
Speothos venaticus,Bush Dog,Speothos,Canidae,,,,0,,Near Threatened,5.5,M,102,4,"Mesoamerica, South America",0,0,1,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Artificial/Terrestrial",1,1,1,1,0,0,0,0,0,1,0,0,0,10 to 20,,,
Atelocynus microtis,Short-eared Dog,Atelocynus,Canidae,,,,0,,Near Threatened,9.5,M,19,4,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Wetlands (inland)",1,0,1,0,0,1,0,0,0,0,0,0,0,1 to 5,,,
Cerdocyon thous,Crab-eating Fox,Cerdocyon,Canidae,,,,0,,Least Concern,6,M,1.5,4.19,"Mesoamerica, South America",0,0,1,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",1,1,1,1,0,1,0,0,0,1,0,0,0,5 to 10,,,
Cuon alpinus,Dhole,Cuon,Canidae,30.3,30.3,30.3,0,Largely Depleted,Endangered,14.5,L,40,5,"East Asia, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,0,1,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland",1,1,0,1,0,0,0,0,0,0,0,0,0,1 to 5,,,
Otocyon megalotis,Bat-eared Fox,Otocyon,Canidae,100,66.7,100,33.3,Fully Recovered,Least Concern,3.9,S,1.4,5.37,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Savanna, Shrubland, Grassland",0,1,1,1,0,0,0,0,0,0,0,0,0,10 to 20,,,
Chrysocyon brachyurus,Maned Wolf,Chrysocyon,Canidae,33.3,33.3,33.3,0,Largely Depleted,Near Threatened,23,L,23,5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",1,1,1,1,0,1,0,0,0,1,0,0,0,1 to 5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
